time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved 
2019 to 20,East Midlands,AS level,Geography,Geography (World Development),0.0,,,,,,
2019 to 20,East Midlands,AS level,Design and technology,Design & Technology,0.0,,,,,,
2019 to 20,East Midlands,AS level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
2019 to 20,East Midlands,AS level,Maths,Statistics,0.0,,,,,,
2019 to 20,East Midlands,AS level,Home Economics,Home Economics (Food),0.0,,,,,,
2019 to 20,East Midlands,AS level,Arts,Media/Film/Tv Studies,144.0,0.0,15.97222,47.91667,77.77778,93.05556,97.91667
2019 to 20,East Midlands,AS level,Modern languages - other,Turkish,0.0,,,,,,
2019 to 20,East Midlands,AS level,Modern languages - other,Dutch,0.0,,,,,,
2019 to 20,East Midlands,AS level,English,English language,169.0,0.0,11.2426,42.01183,74.55621,96.4497,100.0
2019 to 20,East Midlands,AS level,Humanities,Total Humanities,0.0,,,,,,
2019 to 20,East Midlands,AS level,Arts,Film Studies,29.0,0.0,13.7931,48.27586,72.41379,93.10345,100.0
2019 to 20,East Midlands,AS level,Maths,Mathematics (Pure),0.0,,,,,,
2019 to 20,East Midlands,AS level,Home Economics,Total Home Economics,0.0,,,,,,
2019 to 20,East Midlands,AS level,Accounting and Finance,Total Accounting and finance,1.0,0.0,0.0,0.0,0.0,100.0,100.0
2019 to 20,East Midlands,AS level,Geography,Total Geography,180.0,0.0,18.88889,45.55556,71.11111,89.44444,98.88889
2019 to 20,East Midlands,AS level,Science - Chemistry,Total Chemistry,419.0,0.0,25.05967,45.34606,66.82578,85.91885,98.56802
2019 to 20,East Midlands,AS level,Art & Design,Textiles,3.0,0.0,33.33333,66.66667,66.66667,100.0,100.0
2019 to 20,East Midlands,AS level,Computer Science,Total Computer Science,90.0,0.0,33.33333,61.11111,80.0,93.33333,96.66667
2019 to 20,East Midlands,AS level,Modern languages - other,Portuguese,0.0,,,,,,
2019 to 20,East Midlands,AS level,Modern languages,French,46.0,0.0,21.73913,60.86957,82.6087,95.65217,97.82609
2019 to 20,East Midlands,AS level,Arts,Communication Studies,0.0,,,,,,
2019 to 20,East Midlands,AS level,Modern languages - other,Welsh,0.0,,,,,,
2019 to 20,East Midlands,AS level,Home Economics,Home Economics,0.0,,,,,,
2019 to 20,East Midlands,AS level,Logic/Philosophy,Total Logic/ Philosophy,18.0,0.0,5.55556,38.88889,72.22222,88.88889,94.44444
2019 to 20,East Midlands,AS level,Design and technology,Total D&T,46.0,0.0,8.69565,32.6087,63.04348,95.65217,100.0
2019 to 20,East Midlands,AS level,Maths,Use of mathematics,0.0,,,,,,
2019 to 20,East Midlands,AS level,Modern languages - other,Italian,8.0,0.0,50.0,87.5,87.5,100.0,100.0
2019 to 20,East Midlands,AS level,Economics,Total Economics,85.0,0.0,14.11765,25.88235,65.88235,88.23529,96.47059
2019 to 20,East Midlands,AS level,Psychology,Total Psychology,691.0,0.0,16.93198,36.46889,61.21563,83.64689,96.23734
2019 to 20,East Midlands,AS level,Modern languages - other,Urdu,0.0,,,,,,
2019 to 20,East Midlands,AS level,Government and politics,Total Government and Politics,84.0,0.0,28.57143,57.14286,78.57143,96.42857,97.61905
2019 to 20,East Midlands,AS level,Music,Total Music,8.0,0.0,25.0,62.5,100.0,100.0,100.0
2019 to 20,East Midlands,AS level,Modern languages - other,Japanese,0.0,,,,,,
2019 to 20,East Midlands,AS level,Modern languages,Total Modern languages including Other,109.0,0.0,33.02752,63.30275,80.73394,93.57798,97.24771
2019 to 20,East Midlands,AS level,Art & Design,Photography,71.0,0.0,26.76056,52.11268,83.09859,92.95775,97.1831
2019 to 20,East Midlands,AS level,Maths,Mathematics (Statistics),0.0,,,,,,
2019 to 20,East Midlands,AS level,Science - other,Total Other Sciences,0.0,,,,,,
2019 to 20,East Midlands,AS level,Classical studies,Other Classical Languages,0.0,,,,,,
2019 to 20,East Midlands,AS level,Science - other,Science in Society,0.0,,,,,,
2019 to 20,East Midlands,AS level,Classical studies,Total Classical studies,3.0,0.0,0.0,33.33333,33.33333,33.33333,66.66667
2019 to 20,East Midlands,AS level,Modern languages - other,Gujarati,0.0,,,,,,
2019 to 20,East Midlands,AS level,Design and technology,D&T Product Design,41.0,0.0,7.31707,29.26829,60.97561,95.12195,100.0
2019 to 20,East Midlands,AS level,Art & Design,3d Studies,1.0,0.0,0.0,0.0,0.0,0.0,100.0
2019 to 20,East Midlands,AS level,Maths,Maths,597.0,0.0,28.30821,50.08375,69.01173,82.57956,94.47236
2019 to 20,East Midlands,AS level,Art & Design,Art and design,18.0,0.0,5.55556,33.33333,61.11111,72.22222,94.44444
2019 to 20,East Midlands,AS level,Art & Design,Graphics,0.0,,,,,,
2019 to 20,East Midlands,AS level,History,Total History,243.0,0.0,15.63786,42.38683,74.07407,94.23868,99.58848
2019 to 20,East Midlands,AS level,Maths - Further,Total Further Mathematics,400.0,0.0,53.25,75.25,89.0,97.75,99.25
2019 to 20,East Midlands,AS level,Science - Biology,Total Biology,510.0,0.0,22.7451,42.35294,66.66667,86.47059,98.23529
2019 to 20,South West,AS level,Classical studies,Ancient History,0.0,,,,,,
2019 to 20,South West,AS level,All facilitating subjects,Total facilitating subjects,3828.0,0.0,25.31348,45.4023,67.99896,84.82236,94.90596
2019 to 20,South West,AS level,General studies,Critical Thinking,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Persian,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages,German,17.0,0.0,52.94118,64.70588,88.23529,100.0,100.0
2019 to 20,South West,AS level,Science - other,Environmental Science,112.0,0.0,16.07143,38.39286,64.28571,81.25,93.75
2019 to 20,South West,AS level,English,English literature,315.0,0.0,17.46032,39.68254,72.69841,89.52381,97.46032
2019 to 20,South West,AS level,Business Studies,Total Business Studies,362.0,0.0,13.53591,35.9116,64.91713,86.18785,95.58011
2019 to 20,South West,AS level,Modern languages - other,Polish,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Arabic,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Welsh (Second Language),0.0,,,,,,
2019 to 20,South West,AS level,Physical Education,Physical Education/Sports Studies,53.0,0.0,16.98113,39.62264,64.15094,84.90566,92.45283
2019 to 20,South West,AS level,Music,Music,28.0,0.0,32.14286,64.28571,82.14286,92.85714,100.0
2019 to 20,South West,AS level,Science - other,Geology,37.0,0.0,18.91892,35.13514,62.16216,91.89189,94.59459
2019 to 20,South West,AS level,Art & Design,Total Art & Design,511.0,0.0,31.50685,62.23092,85.51859,95.10763,98.04305
2019 to 20,South West,AS level,Modern languages - other,Total Other Modern Languages,12.0,0.0,41.66667,75.0,91.66667,100.0,100.0
2019 to 20,South West,AS level,Modern languages - other,Modern Hebrew,0.0,,,,,,
2019 to 20,South West,AS level,Classical studies,Classics (General),0.0,,,,,,
2019 to 20,South West,AS level,Design and technology,D&T Engineering,0.0,,,,,,
2019 to 20,South West,AS level,Archaeology,Total Archaeology,0.0,,,,,,
2019 to 20,South West,AS level,Geography,Geography,198.0,0.0,24.74747,47.47475,71.71717,87.37374,97.47475
2019 to 20,South West,AS level,Modern languages - other,Russian,7.0,0.0,28.57143,71.42857,85.71429,100.0,100.0
2019 to 20,South West,AS level,English,English language & literature,27.0,0.0,3.7037,25.92593,70.37037,100.0,100.0
2019 to 20,South West,AS level,ICT,Total ICT,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Bengali,0.0,,,,,,
2019 to 20,South West,AS level,Arts,Expressive Arts & Performance Studies,0.0,,,,,,
2019 to 20,South West,AS level,Design and technology,D&T Food Technology,0.0,,,,,,
2019 to 20,South West,AS level,Classical studies,Classical Civilisation,47.0,0.0,38.29787,65.95745,82.97872,95.74468,100.0
2019 to 20,South West,AS level,Arts,Total Arts,250.0,0.0,20.8,50.4,80.4,93.2,97.6
2019 to 20,South West,AS level,Science - other,Science SA,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Modern Greek,0.0,,,,,,
2019 to 20,South West,AS level,Arts,Drama & Theatre Studies,83.0,0.0,28.91566,67.46988,92.77108,100.0,100.0
2019 to 20,South West,AS level,Design and technology,D&T Systems & Control,0.0,,,,,,
2019 to 20,South West,AS level,Physical Education,Total Physical Education,53.0,0.0,16.98113,39.62264,64.15094,84.90566,92.45283
2019 to 20,South West,AS level,Modern languages - other,Irish,0.0,,,,,,
2019 to 20,South West,AS level,Classical studies,Latin,0.0,,,,,,
2019 to 20,South West,AS level,All STEM subjects,Total STEM subjects,2852.0,0.0,26.22721,45.19635,65.91865,82.95933,93.89902
2019 to 20,South West,AS level,Classical studies,Classical Greek,2.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South West,AS level,Physical Education,Dance,0.0,,,,,,
2019 to 20,South West,AS level,Maths,Additional Mathematics,0.0,,,,,,
2019 to 20,South West,AS level,Design and technology,D&T Textiles Technology,5.0,0.0,40.0,80.0,100.0,100.0,100.0
2019 to 20,South West,AS level,Maths,Total Maths,932.0,0.0,26.28755,44.5279,62.87554,80.15021,91.6309
2019 to 20,South West,AS level,Sociology,Total Sociology,581.0,0.0,12.90878,33.56282,62.6506,81.23924,93.11532
2019 to 20,South West,AS level,Arts,Creative Writing,0.0,,,,,,
2019 to 20,South West,AS level,All subjects,Total subjects,7894.0,0.0,21.53534,43.36205,67.89967,84.9886,94.46415
2019 to 20,South West,AS level,Science - Physics,Total Physics,383.0,0.0,21.40992,38.6423,60.05222,81.20104,96.34465
2019 to 20,South West,AS level,Art & Design,Fine Art,116.0,0.0,38.7931,66.37931,87.06897,97.41379,98.27586
2019 to 20,South West,AS level,Music,Music Technology,0.0,,,,,,
2019 to 20,South West,AS level,Art & Design,History of Art,0.0,,,,,,
2019 to 20,South West,AS level,Art & Design,Critical Studies,0.0,,,,,,
2019 to 20,South West,AS level,General studies,General Studies,0.0,,,,,,
2019 to 20,South West,AS level,General studies,Total General studies,0.0,,,,,,
2019 to 20,South West,AS level,Religious Studies,Total Religious Studies,164.0,0.0,18.90244,38.41463,65.2439,82.92683,91.46341
2019 to 20,South West,AS level,Modern languages,Spanish,66.0,0.0,40.90909,62.12121,86.36364,93.93939,96.9697
2019 to 20,South West,AS level,English,Total English,616.0,0.0,16.72078,40.25974,75.64935,91.72078,98.37662
2019 to 20,South West,AS level,Modern languages - other,Punjabi,0.0,,,,,,
2019 to 20,South West,AS level,Anthropology,Total Anthropology,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Chinese,3.0,0.0,33.33333,66.66667,100.0,100.0,100.0
2019 to 20,South West,AS level,Science - other,Electronics,3.0,0.0,33.33333,33.33333,100.0,100.0,100.0
2019 to 20,South West,AS level,Law,Total Law,212.0,0.0,15.56604,36.79245,58.01887,76.88679,86.79245
2019 to 20,South West,AS level,Geography,Geography (World Development),0.0,,,,,,
2019 to 20,South West,AS level,Design and technology,Design & Technology,0.0,,,,,,
2019 to 20,South West,AS level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
2019 to 20,South West,AS level,Maths,Statistics,0.0,,,,,,
2019 to 20,South West,AS level,Home Economics,Home Economics (Food),0.0,,,,,,
2019 to 20,South West,AS level,Arts,Media/Film/Tv Studies,85.0,0.0,14.11765,38.82353,68.23529,82.35294,94.11765
2019 to 20,South West,AS level,Modern languages - other,Turkish,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Dutch,0.0,,,,,,
2019 to 20,South West,AS level,English,English language,274.0,0.0,17.15328,42.33577,79.56204,93.43066,99.27007
2019 to 20,South West,AS level,Humanities,Total Humanities,0.0,,,,,,
2019 to 20,South West,AS level,Arts,Film Studies,82.0,0.0,19.5122,45.12195,80.4878,97.56098,98.78049
2019 to 20,South West,AS level,Maths,Mathematics (Pure),0.0,,,,,,
2019 to 20,South West,AS level,Home Economics,Total Home Economics,0.0,,,,,,
2019 to 20,South West,AS level,Accounting and Finance,Total Accounting and finance,18.0,0.0,11.11111,22.22222,38.88889,44.44444,72.22222
2019 to 20,South West,AS level,Geography,Total Geography,198.0,0.0,24.74747,47.47475,71.71717,87.37374,97.47475
2019 to 20,South West,AS level,Science - Chemistry,Total Chemistry,427.0,0.0,18.26698,38.64169,61.59251,78.45433,92.97424
2019 to 20,South West,AS level,Art & Design,Textiles,16.0,0.0,37.5,56.25,81.25,87.5,87.5
2019 to 20,South West,AS level,Computer Science,Total Computer Science,56.0,0.0,26.78571,51.78571,71.42857,83.92857,91.07143
2019 to 20,South West,AS level,Modern languages - other,Portuguese,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages,French,50.0,0.0,44.0,72.0,88.0,96.0,98.0
2019 to 20,South West,AS level,Arts,Communication Studies,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Welsh,0.0,,,,,,
2019 to 20,South West,AS level,Home Economics,Home Economics,0.0,,,,,,
2019 to 20,South West,AS level,Logic/Philosophy,Total Logic/ Philosophy,61.0,0.0,13.11475,39.34426,63.93443,83.60656,91.80328
2019 to 20,South West,AS level,Design and technology,Total D&T,45.0,0.0,24.44444,55.55556,88.88889,91.11111,100.0
2019 to 20,South West,AS level,Maths,Use of mathematics,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages - other,Italian,2.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South West,AS level,Economics,Total Economics,244.0,0.0,15.57377,42.21311,64.7541,84.83607,95.90164
2019 to 20,South West,AS level,Psychology,Total Psychology,798.0,0.0,14.1604,33.58396,57.64411,79.19799,91.10276
2019 to 20,South West,AS level,Modern languages - other,Urdu,0.0,,,,,,
2019 to 20,South West,AS level,Government and politics,Total Government and Politics,161.0,0.0,18.63354,39.13043,62.73292,79.50311,89.44099
2019 to 20,South West,AS level,Music,Total Music,28.0,0.0,32.14286,64.28571,82.14286,92.85714,100.0
2019 to 20,South West,AS level,Modern languages - other,Japanese,0.0,,,,,,
2019 to 20,South West,AS level,Modern languages,Total Modern languages including Other,145.0,0.0,43.44828,66.89655,87.58621,95.86207,97.93103
2019 to 20,South West,AS level,Art & Design,Photography,217.0,0.0,29.49309,61.75115,88.01843,96.77419,100.0
2019 to 20,South West,AS level,Maths,Mathematics (Statistics),22.0,0.0,13.63636,40.90909,63.63636,86.36364,100.0
2019 to 20,South West,AS level,Science - other,Total Other Sciences,152.0,0.0,17.10526,37.5,64.47368,84.21053,94.07895
2019 to 20,South West,AS level,Classical studies,Other Classical Languages,0.0,,,,,,
2019 to 20,South West,AS level,Science - other,Science in Society,0.0,,,,,,
2019 to 20,South West,AS level,Classical studies,Total Classical studies,49.0,0.0,40.81633,67.34694,83.67347,95.91837,100.0
2019 to 20,South West,AS level,Modern languages - other,Gujarati,0.0,,,,,,
2019 to 20,South West,AS level,Design and technology,D&T Product Design,40.0,0.0,22.5,52.5,87.5,90.0,100.0
2019 to 20,South West,AS level,Art & Design,3d Studies,43.0,0.0,23.25581,53.48837,81.39535,88.37209,95.34884
2019 to 20,South West,AS level,Maths,Maths,910.0,0.0,26.59341,44.61538,62.85714,80.0,91.42857
2019 to 20,South West,AS level,Art & Design,Art and design,47.0,0.0,23.40426,51.06383,72.34043,89.3617,95.74468
2019 to 20,South West,AS level,Art & Design,Graphics,72.0,0.0,34.72222,70.83333,87.5,95.83333,97.22222
2019 to 20,South West,AS level,History,Total History,394.0,0.0,17.7665,42.8934,70.30457,89.08629,97.46193
2019 to 20,South West,AS level,Maths - Further,Total Further Mathematics,413.0,0.0,52.7845,75.54479,92.97821,96.8523,98.78935
2019 to 20,South West,AS level,Science - Biology,Total Biology,641.0,0.0,17.16069,34.32137,58.81435,82.05928,93.44774
2019 to 20,South East,AS level,Classical studies,Ancient History,36.0,0.0,16.66667,50.0,80.55556,100.0,100.0
2019 to 20,South East,AS level,All facilitating subjects,Total facilitating subjects,5287.0,0.0,30.6412,51.54152,72.49858,86.41952,95.63079
2019 to 20,South East,AS level,General studies,Critical Thinking,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Persian,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages,German,64.0,0.0,42.1875,67.1875,82.8125,95.3125,98.4375
2019 to 20,South East,AS level,Science - other,Environmental Science,19.0,0.0,26.31579,47.36842,73.68421,84.21053,94.73684
2019 to 20,South East,AS level,English,English literature,299.0,0.0,21.73913,50.50167,76.92308,92.30769,98.32776
2019 to 20,South East,AS level,Business Studies,Total Business Studies,470.0,0.0,15.74468,36.38298,66.80851,85.31915,97.65957
2019 to 20,South East,AS level,Modern languages - other,Polish,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Arabic,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Welsh (Second Language),0.0,,,,,,
2019 to 20,South East,AS level,Physical Education,Physical Education/Sports Studies,85.0,0.0,29.41176,48.23529,75.29412,87.05882,95.29412
2019 to 20,South East,AS level,Music,Music,23.0,0.0,21.73913,43.47826,82.6087,95.65217,95.65217
2019 to 20,South East,AS level,Science - other,Geology,3.0,0.0,0.0,0.0,0.0,66.66667,100.0
2019 to 20,South East,AS level,Art & Design,Total Art & Design,480.0,0.0,23.33333,51.04167,78.33333,91.875,97.5
2019 to 20,South East,AS level,Modern languages - other,Total Other Modern Languages,15.0,0.0,80.0,93.33333,100.0,100.0,100.0
2019 to 20,South East,AS level,Modern languages - other,Modern Hebrew,0.0,,,,,,
2019 to 20,South East,AS level,Classical studies,Classics (General),0.0,,,,,,
2019 to 20,South East,AS level,Design and technology,D&T Engineering,0.0,,,,,,
2019 to 20,South East,AS level,Archaeology,Total Archaeology,0.0,,,,,,
2019 to 20,South East,AS level,Geography,Geography,222.0,0.0,18.91892,37.83784,66.21622,83.33333,95.04505
2019 to 20,South East,AS level,Modern languages - other,Russian,0.0,,,,,,
2019 to 20,South East,AS level,English,English language & literature,87.0,0.0,9.1954,29.88506,70.11494,91.95402,97.70115
2019 to 20,South East,AS level,ICT,Total ICT,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Bengali,0.0,,,,,,
2019 to 20,South East,AS level,Arts,Expressive Arts & Performance Studies,0.0,,,,,,
2019 to 20,South East,AS level,Design and technology,D&T Food Technology,0.0,,,,,,
2019 to 20,South East,AS level,Classical studies,Classical Civilisation,26.0,0.0,30.76923,57.69231,84.61538,100.0,100.0
2019 to 20,South East,AS level,Arts,Total Arts,228.0,0.0,17.10526,44.29825,78.50877,93.85965,98.24561
2019 to 20,South East,AS level,Science - other,Science SA,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Modern Greek,1.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South East,AS level,Arts,Drama & Theatre Studies,43.0,0.0,32.55814,62.7907,90.69767,100.0,100.0
2019 to 20,South East,AS level,Design and technology,D&T Systems & Control,0.0,,,,,,
2019 to 20,South East,AS level,Physical Education,Total Physical Education,91.0,0.0,29.67033,49.45055,76.92308,87.91209,95.6044
2019 to 20,South East,AS level,Modern languages - other,Irish,0.0,,,,,,
2019 to 20,South East,AS level,Classical studies,Latin,4.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South East,AS level,All STEM subjects,Total STEM subjects,4237.0,0.0,31.93297,51.73472,71.20604,84.98938,94.90205
2019 to 20,South East,AS level,Classical studies,Classical Greek,1.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South East,AS level,Physical Education,Dance,6.0,0.0,33.33333,66.66667,100.0,100.0,100.0
2019 to 20,South East,AS level,Maths,Additional Mathematics,0.0,,,,,,
2019 to 20,South East,AS level,Design and technology,D&T Textiles Technology,4.0,0.0,0.0,50.0,75.0,75.0,100.0
2019 to 20,South East,AS level,Maths,Total Maths,1312.0,0.0,28.73476,47.40854,67.60671,82.54573,94.66463
2019 to 20,South East,AS level,Sociology,Total Sociology,672.0,0.0,14.73214,36.90476,63.83929,81.84524,91.66667
2019 to 20,South East,AS level,Arts,Creative Writing,0.0,,,,,,
2019 to 20,South East,AS level,All subjects,Total subjects,9571.0,0.0,24.73096,46.94389,70.57779,86.36506,95.64309
2019 to 20,South East,AS level,Science - Physics,Total Physics,503.0,0.0,21.66998,42.34592,65.40755,80.91451,95.42744
2019 to 20,South East,AS level,Art & Design,Fine Art,111.0,0.0,25.22523,49.54955,77.47748,89.18919,96.3964
2019 to 20,South East,AS level,Music,Music Technology,10.0,0.0,10.0,30.0,70.0,100.0,100.0
2019 to 20,South East,AS level,Art & Design,History of Art,0.0,,,,,,
2019 to 20,South East,AS level,Art & Design,Critical Studies,7.0,0.0,14.28571,71.42857,100.0,100.0,100.0
2019 to 20,South East,AS level,General studies,General Studies,0.0,,,,,,
2019 to 20,South East,AS level,General studies,Total General studies,0.0,,,,,,
2019 to 20,South East,AS level,Religious Studies,Total Religious Studies,127.0,0.0,22.83465,46.45669,69.29134,86.61417,93.70079
2019 to 20,South East,AS level,Modern languages,Spanish,161.0,0.0,44.09938,68.32298,83.22981,93.1677,98.75776
2019 to 20,South East,AS level,English,Total English,513.0,0.0,17.54386,43.85965,75.04873,93.17739,98.63548
2019 to 20,South East,AS level,Modern languages - other,Punjabi,0.0,,,,,,
2019 to 20,South East,AS level,Anthropology,Total Anthropology,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Chinese,1.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South East,AS level,Science - other,Electronics,2.0,0.0,0.0,0.0,100.0,100.0,100.0
2019 to 20,South East,AS level,Law,Total Law,109.0,0.0,11.92661,35.77982,59.63303,84.40367,94.49541
2019 to 20,South East,AS level,Geography,Geography (World Development),0.0,,,,,,
2019 to 20,South East,AS level,Design and technology,Design & Technology,0.0,,,,,,
2019 to 20,South East,AS level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
2019 to 20,South East,AS level,Maths,Statistics,0.0,,,,,,
2019 to 20,South East,AS level,Home Economics,Home Economics (Food),0.0,,,,,,
2019 to 20,South East,AS level,Arts,Media/Film/Tv Studies,119.0,0.0,11.76471,36.97479,73.94958,92.43697,98.31933
2019 to 20,South East,AS level,Modern languages - other,Turkish,1.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,South East,AS level,Modern languages - other,Dutch,0.0,,,,,,
2019 to 20,South East,AS level,English,English language,127.0,0.0,13.38583,37.79528,74.01575,96.06299,100.0
2019 to 20,South East,AS level,Humanities,Total Humanities,0.0,,,,,,
2019 to 20,South East,AS level,Arts,Film Studies,66.0,0.0,16.66667,45.45455,78.78788,92.42424,96.9697
2019 to 20,South East,AS level,Maths,Mathematics (Pure),0.0,,,,,,
2019 to 20,South East,AS level,Home Economics,Total Home Economics,0.0,,,,,,
2019 to 20,South East,AS level,Accounting and Finance,Total Accounting and finance,19.0,0.0,10.52632,15.78947,42.10526,84.21053,100.0
2019 to 20,South East,AS level,Geography,Total Geography,222.0,0.0,18.91892,37.83784,66.21622,83.33333,95.04505
2019 to 20,South East,AS level,Science - Chemistry,Total Chemistry,650.0,0.0,22.30769,44.46154,66.30769,81.84615,92.15385
2019 to 20,South East,AS level,Art & Design,Textiles,31.0,0.0,12.90323,48.3871,80.64516,96.77419,100.0
2019 to 20,South East,AS level,Computer Science,Total Computer Science,191.0,0.0,26.70157,49.73822,67.53927,82.19895,92.67016
2019 to 20,South East,AS level,Modern languages - other,Portuguese,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages,French,109.0,0.0,39.44954,61.46789,77.98165,89.90826,98.16514
2019 to 20,South East,AS level,Arts,Communication Studies,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Welsh,0.0,,,,,,
2019 to 20,South East,AS level,Home Economics,Home Economics,0.0,,,,,,
2019 to 20,South East,AS level,Logic/Philosophy,Total Logic/ Philosophy,38.0,0.0,18.42105,34.21053,76.31579,94.73684,100.0
2019 to 20,South East,AS level,Design and technology,Total D&T,58.0,0.0,27.58621,62.06897,81.03448,94.82759,100.0
2019 to 20,South East,AS level,Maths,Use of mathematics,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages - other,Italian,12.0,0.0,75.0,91.66667,100.0,100.0,100.0
2019 to 20,South East,AS level,Economics,Total Economics,335.0,0.0,17.01493,45.97015,69.85075,87.76119,97.31343
2019 to 20,South East,AS level,Psychology,Total Psychology,911.0,0.0,15.80681,37.54116,61.25137,81.6685,94.29199
2019 to 20,South East,AS level,Modern languages - other,Urdu,0.0,,,,,,
2019 to 20,South East,AS level,Government and politics,Total Government and Politics,186.0,0.0,11.29032,39.24731,66.12903,86.02151,96.77419
2019 to 20,South East,AS level,Music,Total Music,33.0,0.0,18.18182,39.39394,78.78788,96.9697,96.9697
2019 to 20,South East,AS level,Modern languages - other,Japanese,0.0,,,,,,
2019 to 20,South East,AS level,Modern languages,Total Modern languages including Other,349.0,0.0,43.83954,67.04871,82.23496,92.83668,98.56734
2019 to 20,South East,AS level,Art & Design,Photography,192.0,0.0,20.83333,48.95833,78.64583,90.625,97.39583
2019 to 20,South East,AS level,Maths,Mathematics (Statistics),36.0,0.0,16.66667,41.66667,69.44444,86.11111,100.0
2019 to 20,South East,AS level,Science - other,Total Other Sciences,24.0,0.0,20.83333,37.5,66.66667,83.33333,95.83333
2019 to 20,South East,AS level,Classical studies,Other Classical Languages,0.0,,,,,,
2019 to 20,South East,AS level,Science - other,Science in Society,0.0,,,,,,
2019 to 20,South East,AS level,Classical studies,Total Classical studies,67.0,0.0,28.35821,56.71642,83.58209,100.0,100.0
2019 to 20,South East,AS level,Modern languages - other,Gujarati,0.0,,,,,,
2019 to 20,South East,AS level,Design and technology,D&T Product Design,54.0,0.0,29.62963,62.96296,81.48148,96.2963,100.0
2019 to 20,South East,AS level,Art & Design,3d Studies,8.0,0.0,12.5,37.5,75.0,87.5,87.5
2019 to 20,South East,AS level,Maths,Maths,1276.0,0.0,29.07524,47.57053,67.55486,82.44514,94.51411
2019 to 20,South East,AS level,Art & Design,Art and design,50.0,0.0,30.0,54.0,84.0,96.0,100.0
2019 to 20,South East,AS level,Art & Design,Graphics,81.0,0.0,28.39506,56.79012,72.83951,93.82716,97.53086
2019 to 20,South East,AS level,History,Total History,402.0,0.0,14.67662,42.0398,74.87562,91.04478,98.00995
2019 to 20,South East,AS level,Maths - Further,Total Further Mathematics,906.0,0.0,61.5894,80.46358,92.49448,97.35099,99.44812
2019 to 20,South East,AS level,Science - Biology,Total Biology,675.0,0.0,16.74074,36.14815,59.7037,80.0,92.14815
2019 to 20,North West,AS level,Classical studies,Ancient History,30.0,0.0,13.33333,26.66667,63.33333,76.66667,93.33333
2019 to 20,North West,AS level,All facilitating subjects,Total facilitating subjects,4006.0,0.0,24.11383,42.78582,64.02896,80.85372,93.01048
2019 to 20,North West,AS level,General studies,Critical Thinking,0.0,,,,,,
2019 to 20,North West,AS level,Modern languages - other,Persian,0.0,,,,,,
2019 to 20,North West,AS level,Modern languages,German,18.0,0.0,44.44444,61.11111,77.77778,100.0,100.0
2019 to 20,North West,AS level,Science - other,Environmental Science,15.0,0.0,13.33333,20.0,53.33333,73.33333,100.0
2019 to 20,North West,AS level,English,English literature,318.0,0.0,20.12579,46.22642,72.95597,84.90566,91.19497
2019 to 20,North West,AS level,Business Studies,Total Business Studies,367.0,0.0,12.80654,34.33243,63.76022,84.19619,94.82289
2019 to 20,North West,AS level,Modern languages - other,Polish,0.0,,,,,,
2019 to 20,North West,AS level,Modern languages - other,Arabic,1.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,North West,AS level,Modern languages - other,Welsh (Second Language),0.0,,,,,,
2019 to 20,North West,AS level,Physical Education,Physical Education/Sports Studies,78.0,0.0,16.66667,34.61538,67.94872,89.74359,98.71795
