time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
2019 to 20,East of England,A level,Arts,Total Arts,3842.0,6.42894,25.0911,60.69755,89.17231,98.07392,99.79178
2019 to 20,East of England,A level,Classical studies,Classical Civilisation,224.0,14.73214,43.75,75.89286,92.41071,97.76786,100.0
2019 to 20,East of England,A level,Science - other,Geology,97.0,22.68041,47.42268,73.19588,88.65979,97.93814,100.0
2019 to 20,East of England,A level,Art & Design,Graphics,389.0,14.91003,33.93316,62.2108,87.91774,95.62982,98.97172
2019 to 20,East of England,A level,Arts,Creative Writing,0.0,,,,,,
2019 to 20,East of England,A level,Arts,Drama & Theatre Studies,1127.0,10.02662,32.38687,70.0976,91.92547,98.40284,99.91127
2019 to 20,East of England,A level,Modern languages - other,Gujarati,0.0,,,,,,
2019 to 20,East of England,A level,Design and technology,Total D&T,1153.0,8.84649,25.67216,54.37988,83.69471,95.57676,99.56635
2019 to 20,East of England,A level,Geography,Total Geography,2882.0,11.1034,34.45524,63.74046,88.44552,97.81402,99.72241
2019 to 20,East of England,A level,All STEM subjects,Total STEM subjects,24643.0,17.5141,41.61019,64.31441,83.74792,94.76931,99.31015
2019 to 20,East of England,A level,Modern languages - other,Urdu,5.0,0.0,40.0,80.0,80.0,80.0,100.0
2019 to 20,East of England,A level,Classical studies,Classical Greek,2.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,East of England,A level,Modern languages,German,267.0,20.59925,55.43071,81.27341,94.75655,98.8764,100.0
2019 to 20,East of England,A level,Art & Design,Photography,1397.0,11.02362,28.48962,61.9184,89.90694,97.6378,99.78525
2019 to 20,East of England,A level,Home Economics,Home Economics,0.0,,,,,,
2019 to 20,East of England,A level,Maths,Mathematics (Statistics),57.0,3.50877,22.80702,42.10526,68.42105,87.7193,98.24561
2019 to 20,East of England,A level,Logic/Philosophy,Total Logic/ Philosophy,282.0,7.80142,29.78723,54.96454,73.04965,92.19858,99.29078
2019 to 20,East of England,A level,Classical studies,Classics (General),0.0,,,,,,
2019 to 20,East of England,A level,Home Economics,Total Home Economics,0.0,,,,,,
2019 to 20,East of England,A level,Maths,Mathematics (Pure),0.0,,,,,,
2019 to 20,East of England,A level,Maths,Use of mathematics,0.0,,,,,,
2019 to 20,East of England,A level,Economics,Total Economics,3084.0,11.93256,38.68353,68.77432,90.40208,97.50324,99.80545
2019 to 20,East of England,A level,Government and politics,Total Government and Politics,1681.0,11.71921,36.28792,64.12849,87.44795,96.96609,99.4646
2019 to 20,East of England,A level,General studies,General Studies,0.0,,,,,,
2019 to 20,East of England,A level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
