time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,region_code,region_name,old_la_code,new_la_code,la_name,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,206,E09000019,Islington,A level,Level 3,358,358,329,305,315,91.899,85.196,87.989
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,207,E09000020,Kensington and Chelsea,A level,Level 3,721,715,676,665,646,93.759,92.233,90.35
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,314,E09000021,Kingston upon Thames,A level,Level 3,870,867,843,829,825,96.897,95.287,95.156
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,208,E09000022,Lambeth,A level,Level 3,684,684,656,644,644,95.906,94.152,94.152
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,308,E09000010,Enfield,A level,Level 3,1253,1226,1221,1188,1157,97.446,94.812,94.372
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,203,E09000011,Greenwich,A level,Level 3,800,798,740,726,715,92.5,90.75,89.599
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,204,E09000012,Hackney,A level,Level 3,1050,1042,992,985,960,94.476,93.81,92.131
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,205,E09000013,Hammersmith and Fulham,A level,Level 3,572,555,554,540,513,96.853,94.406,92.432
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,201,E09000001,City of London,A level,Level 3,0,0,z,z,z,z,z,z
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,301,E09000002,Barking and Dagenham,A level,Level 3,801,801,768,766,765,95.88,95.63,95.506
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000007,London,302,E09000003,Barnet,A level,Level 3,3057,3038,2951,2926,2860,96.533,95.715,94.141
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000002,North West,909,E10000006,Cumbria,A level,Level 3,1639,1630,1555,1531,1513,94.875,93.411,92.822
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,830,E10000007,Derbyshire,A level,Level 3,2045,2002,1939,1934,1875,94.817,94.572,93.656
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000009,South West,878,E10000008,Devon,A level,Level 3,2440,2427,2288,2269,2228,93.77,92.992,91.801
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,845,E10000011,East Sussex,A level,Level 3,1315,1305,1227,1215,1178,93.308,92.395,90.268
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,881,E10000012,Essex,A level,Level 3,6063,6051,5743,5706,5672,94.722,94.112,93.737
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000009,South West,916,E10000013,Gloucestershire,A level,Level 3,3400,3394,3236,3210,3190,95.176,94.412,93.989
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,850,E10000014,Hampshire,A level,Level 3,7794,7757,7267,7245,7182,93.238,92.956,92.587
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,919,E10000015,Hertfordshire,A level,Level 3,6577,6478,6349,6316,6208,96.533,96.032,95.832
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,886,E10000016,Kent,A level,Level 3,6101,6087,5783,5707,5679,94.788,93.542,93.297
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000002,North West,888,E10000017,Lancashire,A level,Level 3,4744,4725,4417,4394,4358,93.107,92.622,92.233
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,855,E10000018,Leicestershire,A level,Level 3,2420,2380,2172,2155,2115,89.752,89.05,88.866
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,925,E10000019,Lincolnshire,A level,Level 3,2582,2570,2455,2428,2390,95.081,94.036,92.996
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,926,E10000020,Norfolk,A level,Level 3,2880,2860,2700,2659,2593,93.75,92.326,90.664
202021,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,A level,Level 3,2386,2384,2247,2222,2216,94.174,93.127,92.953
