time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci
2019 to 20,East of England,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,West Midlands,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,East Midlands,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,South West,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,South East,All,Further Maths & Chemistry,2,3,0.007
2019 to 20,North West,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,North East,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,London,All,Further Maths & Chemistry,2,1,0.002
2019 to 20,Yorkshire and The Humber,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,East of England,Female,Maths & Biology & Chemistry & Physics,4,24,0.163
2019 to 20,West Midlands,Female,Maths & Biology & Chemistry & Physics,4,16,0.12
2019 to 20,East Midlands,Female,Maths & Biology & Chemistry & Physics,4,18,0.183
2019 to 20,South West,Female,Maths & Biology & Chemistry & Physics,4,17,0.146
2019 to 20,South East,Female,Maths & Biology & Chemistry & Physics,4,49,0.215
2019 to 20,North West,Female,Maths & Biology & Chemistry & Physics,4,18,0.111
2019 to 20,North East,Female,Maths & Biology & Chemistry & Physics,4,3,0.058
2019 to 20,London,Female,Maths & Biology & Chemistry & Physics,4,40,0.178
2019 to 20,Yorkshire and The Humber,Female,Maths & Biology & Chemistry & Physics,4,17,0.146
2019 to 20,East of England,All,Maths & Biology & Chemistry & Computer Science,4,5,0.019
2019 to 20,West Midlands,All,Maths & Biology & Chemistry & Computer Science,4,5,0.022
2019 to 20,East Midlands,All,Maths & Biology & Chemistry & Computer Science,4,1,0.006
2019 to 20,South West,All,Maths & Biology & Chemistry & Computer Science,4,3,0.015
2019 to 20,South East,All,Maths & Biology & Chemistry & Computer Science,4,4,0.01
2019 to 20,North West,All,Maths & Biology & Chemistry & Computer Science,4,4,0.014
2019 to 20,North East,All,Maths & Biology & Chemistry & Computer Science,4,1,0.011
2019 to 20,London,All,Maths & Biology & Chemistry & Computer Science,4,4,0.01
2019 to 20,Yorkshire and The Humber,All,Maths & Biology & Chemistry & Computer Science,4,0,0.0
2019 to 20,East of England,All,Chemistry & Physics & Computer Science,3,6,0.022
2019 to 20,West Midlands,All,Chemistry & Physics & Computer Science,3,12,0.052
2019 to 20,East Midlands,All,Chemistry & Physics & Computer Science,3,3,0.017
2019 to 20,South West,All,Chemistry & Physics & Computer Science,3,7,0.034
2019 to 20,South East,All,Chemistry & Physics & Computer Science,3,7,0.017
2019 to 20,North West,All,Chemistry & Physics & Computer Science,3,9,0.031
2019 to 20,North East,All,Chemistry & Physics & Computer Science,3,3,0.033
2019 to 20,London,All,Chemistry & Physics & Computer Science,3,4,0.01
2019 to 20,Yorkshire and The Humber,All,Chemistry & Physics & Computer Science,3,3,0.015
2019 to 20,East of England,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,West Midlands,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East Midlands,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,South West,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,South East,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,North West,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,North East,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,London,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East of England,Male,Maths & Biology & Chemistry & Physics,4,43,0.357
2019 to 20,West Midlands,Male,Maths & Biology & Chemistry & Physics,4,28,0.287
2019 to 20,East Midlands,Male,Maths & Biology & Chemistry & Physics,4,26,0.345
2019 to 20,South West,Male,Maths & Biology & Chemistry & Physics,4,27,0.301
2019 to 20,South East,Male,Maths & Biology & Chemistry & Physics,4,62,0.333
2019 to 20,North West,Male,Maths & Biology & Chemistry & Physics,4,26,0.208
2019 to 20,North East,Male,Maths & Biology & Chemistry & Physics,4,4,0.104
2019 to 20,London,Male,Maths & Biology & Chemistry & Physics,4,70,0.397
2019 to 20,Yorkshire and The Humber,Male,Maths & Biology & Chemistry & Physics,4,23,0.268
2019 to 20,East of England,Male,Maths & Biology & Chemistry & Computer Science,4,3,0.025
2019 to 20,West Midlands,Male,Maths & Biology & Chemistry & Computer Science,4,3,0.031
2019 to 20,East Midlands,Male,Maths & Biology & Chemistry & Computer Science,4,1,0.013
2019 to 20,South West,Male,Maths & Biology & Chemistry & Computer Science,4,0,0.0
2019 to 20,South East,Male,Maths & Biology & Chemistry & Computer Science,4,3,0.016
2019 to 20,North West,Male,Maths & Biology & Chemistry & Computer Science,4,2,0.016
2019 to 20,North East,Male,Maths & Biology & Chemistry & Computer Science,4,1,0.026
2019 to 20,London,Male,Maths & Biology & Chemistry & Computer Science,4,2,0.011
2019 to 20,Yorkshire and The Humber,Male,Maths & Biology & Chemistry & Computer Science,4,0,0.0
2019 to 20,East of England,All,Maths & Biology & Chemistry & Physics,4,67,0.251
2019 to 20,West Midlands,All,Maths & Biology & Chemistry & Physics,4,44,0.191
2019 to 20,East Midlands,All,Maths & Biology & Chemistry & Physics,4,44,0.253
2019 to 20,South West,All,Maths & Biology & Chemistry & Physics,4,44,0.214
2019 to 20,South East,All,Maths & Biology & Chemistry & Physics,4,111,0.268
2019 to 20,North West,All,Maths & Biology & Chemistry & Physics,4,44,0.153
2019 to 20,North East,All,Maths & Biology & Chemistry & Physics,4,7,0.078
2019 to 20,London,All,Maths & Biology & Chemistry & Physics,4,110,0.274
2019 to 20,Yorkshire and The Humber,All,Maths & Biology & Chemistry & Physics,4,40,0.198
2019 to 20,East of England,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,West Midlands,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,East Midlands,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,South West,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,South East,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,North West,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,North East,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,London,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,Yorkshire and The Humber,All,Further Maths & Computer Science,2,0,0.0
2019 to 20,East of England,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,West Midlands,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,East Midlands,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,South West,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,South East,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,North West,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,North East,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,London,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Further Maths & Computer Science,2,0,0.0
2019 to 20,East of England,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,West Midlands,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,East Midlands,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,South West,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,South East,Male,Further Maths & Biology & Chemistry,3,1,0.005
2019 to 20,North West,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,North East,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,London,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,East of England,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,West Midlands,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,East Midlands,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,South West,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,South East,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,North West,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,North East,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,London,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Further Maths & Computer Science,2,0,0.0
2019 to 20,East of England,All,Biology & Physics & Computer Science,3,2,0.007
2019 to 20,West Midlands,All,Biology & Physics & Computer Science,3,2,0.009
2019 to 20,East Midlands,All,Biology & Physics & Computer Science,3,2,0.012
2019 to 20,South West,All,Biology & Physics & Computer Science,3,4,0.019
2019 to 20,South East,All,Biology & Physics & Computer Science,3,5,0.012
2019 to 20,North West,All,Biology & Physics & Computer Science,3,4,0.014
2019 to 20,North East,All,Biology & Physics & Computer Science,3,1,0.011
2019 to 20,London,All,Biology & Physics & Computer Science,3,5,0.012
2019 to 20,Yorkshire and The Humber,All,Biology & Physics & Computer Science,3,4,0.02
2019 to 20,East of England,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,West Midlands,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,East Midlands,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,South West,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,South East,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,North West,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,North East,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,London,Female,Further Maths & Biology & Chemistry,3,1,0.004
2019 to 20,Yorkshire and The Humber,Female,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,East of England,Male,Maths & Biology & Physics & Computer Science,4,1,0.008
2019 to 20,West Midlands,Male,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East Midlands,Male,Maths & Biology & Physics & Computer Science,4,1,0.013
2019 to 20,South West,Male,Maths & Biology & Physics & Computer Science,4,4,0.045
2019 to 20,South East,Male,Maths & Biology & Physics & Computer Science,4,1,0.005
2019 to 20,North West,Male,Maths & Biology & Physics & Computer Science,4,1,0.008
2019 to 20,North East,Male,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,London,Male,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East of England,Male,Biology & Physics & Computer Science,3,2,0.017
2019 to 20,West Midlands,Male,Biology & Physics & Computer Science,3,2,0.021
2019 to 20,East Midlands,Male,Biology & Physics & Computer Science,3,2,0.027
2019 to 20,South West,Male,Biology & Physics & Computer Science,3,4,0.045
2019 to 20,South East,Male,Biology & Physics & Computer Science,3,4,0.021
2019 to 20,North West,Male,Biology & Physics & Computer Science,3,4,0.032
2019 to 20,North East,Male,Biology & Physics & Computer Science,3,1,0.026
2019 to 20,London,Male,Biology & Physics & Computer Science,3,5,0.028
2019 to 20,Yorkshire and The Humber,Male,Biology & Physics & Computer Science,3,4,0.047
2019 to 20,East of England,All,Maths & Further Maths & Chemistry,3,83,0.311
2019 to 20,West Midlands,All,Maths & Further Maths & Chemistry,3,49,0.212
2019 to 20,East Midlands,All,Maths & Further Maths & Chemistry,3,48,0.276
2019 to 20,South West,All,Maths & Further Maths & Chemistry,3,57,0.277
2019 to 20,South East,All,Maths & Further Maths & Chemistry,3,128,0.309
2019 to 20,North West,All,Maths & Further Maths & Chemistry,3,78,0.271
2019 to 20,North East,All,Maths & Further Maths & Chemistry,3,26,0.288
2019 to 20,London,All,Maths & Further Maths & Chemistry,3,146,0.364
2019 to 20,Yorkshire and The Humber,All,Maths & Further Maths & Chemistry,3,54,0.267
2019 to 20,East of England,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,West Midlands,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,East Midlands,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,South West,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,South East,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,North West,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,North East,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,London,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,East of England,Female,Further Maths & Physics,2,1,0.007
2019 to 20,West Midlands,Female,Further Maths & Physics,2,0,0.0
2019 to 20,East Midlands,Female,Further Maths & Physics,2,0,0.0
2019 to 20,South West,Female,Further Maths & Physics,2,0,0.0
2019 to 20,South East,Female,Further Maths & Physics,2,0,0.0
2019 to 20,North West,Female,Further Maths & Physics,2,0,0.0
2019 to 20,North East,Female,Further Maths & Physics,2,0,0.0
2019 to 20,London,Female,Further Maths & Physics,2,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Further Maths & Physics,2,0,0.0
2019 to 20,East of England,Male,Chemistry & Physics & Computer Science,3,6,0.05
2019 to 20,West Midlands,Male,Chemistry & Physics & Computer Science,3,12,0.123
2019 to 20,East Midlands,Male,Chemistry & Physics & Computer Science,3,3,0.04
2019 to 20,South West,Male,Chemistry & Physics & Computer Science,3,7,0.078
2019 to 20,South East,Male,Chemistry & Physics & Computer Science,3,7,0.038
2019 to 20,North West,Male,Chemistry & Physics & Computer Science,3,9,0.072
2019 to 20,North East,Male,Chemistry & Physics & Computer Science,3,3,0.078
2019 to 20,London,Male,Chemistry & Physics & Computer Science,3,4,0.023
2019 to 20,Yorkshire and The Humber,Male,Chemistry & Physics & Computer Science,3,3,0.035
2019 to 20,East of England,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,West Midlands,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,East Midlands,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,South West,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,South East,All,Further Maths & Biology & Chemistry,3,1,0.002
2019 to 20,North West,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,North East,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,London,All,Further Maths & Biology & Chemistry,3,1,0.002
2019 to 20,Yorkshire and The Humber,All,Further Maths & Biology & Chemistry,3,0,0.0
2019 to 20,East of England,Female,Maths & Chemistry & Physics & Computer Science,4,0,0.0
2019 to 20,West Midlands,Female,Maths & Chemistry & Physics & Computer Science,4,3,0.022
2019 to 20,East Midlands,Female,Maths & Chemistry & Physics & Computer Science,4,0,0.0
2019 to 20,South West,Female,Maths & Chemistry & Physics & Computer Science,4,0,0.0
2019 to 20,South East,Female,Maths & Chemistry & Physics & Computer Science,4,3,0.013
2019 to 20,North West,Female,Maths & Chemistry & Physics & Computer Science,4,1,0.006
2019 to 20,North East,Female,Maths & Chemistry & Physics & Computer Science,4,0,0.0
2019 to 20,London,Female,Maths & Chemistry & Physics & Computer Science,4,1,0.004
2019 to 20,Yorkshire and The Humber,Female,Maths & Chemistry & Physics & Computer Science,4,0,0.0
2019 to 20,East of England,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,West Midlands,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,East Midlands,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,South West,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,South East,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,North West,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,North East,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,London,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Chemistry & Physics & Computer Science,3,0,0.0
2019 to 20,East of England,Male,Maths & Further Maths & Computer Science,3,73,0.606
2019 to 20,West Midlands,Male,Maths & Further Maths & Computer Science,3,46,0.472
2019 to 20,East Midlands,Male,Maths & Further Maths & Computer Science,3,41,0.544
2019 to 20,South West,Male,Maths & Further Maths & Computer Science,3,55,0.613
2019 to 20,South East,Male,Maths & Further Maths & Computer Science,3,125,0.672
2019 to 20,North West,Male,Maths & Further Maths & Computer Science,3,74,0.591
2019 to 20,North East,Male,Maths & Further Maths & Computer Science,3,16,0.417
2019 to 20,London,Male,Maths & Further Maths & Computer Science,3,107,0.607
2019 to 20,Yorkshire and The Humber,Male,Maths & Further Maths & Computer Science,3,40,0.466
2019 to 20,East of England,All,Maths & Biology & Physics & Computer Science,4,1,0.004
2019 to 20,West Midlands,All,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East Midlands,All,Maths & Biology & Physics & Computer Science,4,1,0.006
2019 to 20,South West,All,Maths & Biology & Physics & Computer Science,4,4,0.019
2019 to 20,South East,All,Maths & Biology & Physics & Computer Science,4,1,0.002
2019 to 20,North West,All,Maths & Biology & Physics & Computer Science,4,1,0.003
2019 to 20,North East,All,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,London,All,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,Yorkshire and The Humber,All,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East of England,All,Further Maths & Physics,2,1,0.004
2019 to 20,West Midlands,All,Further Maths & Physics,2,0,0.0
2019 to 20,East Midlands,All,Further Maths & Physics,2,0,0.0
2019 to 20,South West,All,Further Maths & Physics,2,1,0.005
2019 to 20,South East,All,Further Maths & Physics,2,0,0.0
2019 to 20,North West,All,Further Maths & Physics,2,2,0.007
2019 to 20,North East,All,Further Maths & Physics,2,0,0.0
2019 to 20,London,All,Further Maths & Physics,2,0,0.0
2019 to 20,Yorkshire and The Humber,All,Further Maths & Physics,2,1,0.005
2019 to 20,East of England,Female,Maths & Further Maths & Computer Science,3,11,0.075
2019 to 20,West Midlands,Female,Maths & Further Maths & Computer Science,3,10,0.075
2019 to 20,East Midlands,Female,Maths & Further Maths & Computer Science,3,7,0.071
2019 to 20,South West,Female,Maths & Further Maths & Computer Science,3,9,0.077
2019 to 20,South East,Female,Maths & Further Maths & Computer Science,3,27,0.119
2019 to 20,North West,Female,Maths & Further Maths & Computer Science,3,12,0.074
2019 to 20,North East,Female,Maths & Further Maths & Computer Science,3,3,0.058
2019 to 20,London,Female,Maths & Further Maths & Computer Science,3,27,0.12
2019 to 20,Yorkshire and The Humber,Female,Maths & Further Maths & Computer Science,3,6,0.052
2019 to 20,East of England,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,West Midlands,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,East Midlands,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,South West,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,South East,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,North West,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,North East,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,London,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,East of England,Male,Further Maths & Physics,2,0,0.0
2019 to 20,West Midlands,Male,Further Maths & Physics,2,0,0.0
2019 to 20,East Midlands,Male,Further Maths & Physics,2,0,0.0
2019 to 20,South West,Male,Further Maths & Physics,2,1,0.011
2019 to 20,South East,Male,Further Maths & Physics,2,0,0.0
2019 to 20,North West,Male,Further Maths & Physics,2,2,0.016
2019 to 20,North East,Male,Further Maths & Physics,2,0,0.0
2019 to 20,London,Male,Further Maths & Physics,2,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Further Maths & Physics,2,1,0.012
2019 to 20,East of England,All,Maths & Biology,2,505,1.89
2019 to 20,West Midlands,All,Maths & Biology,2,485,2.1
2019 to 20,East Midlands,All,Maths & Biology,2,336,1.935
2019 to 20,South West,All,Maths & Biology,2,358,1.738
2019 to 20,South East,All,Maths & Biology,2,790,1.91
2019 to 20,North West,All,Maths & Biology,2,481,1.67
2019 to 20,North East,All,Maths & Biology,2,179,1.986
2019 to 20,London,All,Maths & Biology,2,743,1.853
2019 to 20,Yorkshire and The Humber,All,Maths & Biology,2,361,1.785
2019 to 20,East of England,Female,Maths & Further Maths & Physics,3,82,0.559
2019 to 20,West Midlands,Female,Maths & Further Maths & Physics,3,65,0.487
2019 to 20,East Midlands,Female,Maths & Further Maths & Physics,3,51,0.519
2019 to 20,South West,Female,Maths & Further Maths & Physics,3,63,0.542
2019 to 20,South East,Female,Maths & Further Maths & Physics,3,146,0.642
2019 to 20,North West,Female,Maths & Further Maths & Physics,3,81,0.498
2019 to 20,North East,Female,Maths & Further Maths & Physics,3,25,0.483
2019 to 20,London,Female,Maths & Further Maths & Physics,3,205,0.911
2019 to 20,Yorkshire and The Humber,Female,Maths & Further Maths & Physics,3,51,0.438
2019 to 20,East of England,Male,Maths & Chemistry & Physics & Computer Science,4,10,0.083
2019 to 20,West Midlands,Male,Maths & Chemistry & Physics & Computer Science,4,6,0.062
2019 to 20,East Midlands,Male,Maths & Chemistry & Physics & Computer Science,4,4,0.053
2019 to 20,South West,Male,Maths & Chemistry & Physics & Computer Science,4,5,0.056
2019 to 20,South East,Male,Maths & Chemistry & Physics & Computer Science,4,8,0.043
2019 to 20,North West,Male,Maths & Chemistry & Physics & Computer Science,4,8,0.064
2019 to 20,North East,Male,Maths & Chemistry & Physics & Computer Science,4,1,0.026
2019 to 20,London,Male,Maths & Chemistry & Physics & Computer Science,4,5,0.028
2019 to 20,Yorkshire and The Humber,Male,Maths & Chemistry & Physics & Computer Science,4,5,0.058
2019 to 20,East of England,Male,Maths & Biology,2,186,1.544
2019 to 20,West Midlands,Male,Maths & Biology,2,197,2.021
2019 to 20,East Midlands,Male,Maths & Biology,2,134,1.776
2019 to 20,South West,Male,Maths & Biology,2,139,1.55
2019 to 20,South East,Male,Maths & Biology,2,312,1.676
2019 to 20,North West,Male,Maths & Biology,2,172,1.374
2019 to 20,North East,Male,Maths & Biology,2,63,1.641
2019 to 20,London,Male,Maths & Biology,2,300,1.703
2019 to 20,Yorkshire and The Humber,Male,Maths & Biology,2,127,1.48
2019 to 20,East of England,All,Maths & Further Maths & Computer Science,3,84,0.314
2019 to 20,West Midlands,All,Maths & Further Maths & Computer Science,3,56,0.242
2019 to 20,East Midlands,All,Maths & Further Maths & Computer Science,3,48,0.276
2019 to 20,South West,All,Maths & Further Maths & Computer Science,3,64,0.311
2019 to 20,South East,All,Maths & Further Maths & Computer Science,3,152,0.368
2019 to 20,North West,All,Maths & Further Maths & Computer Science,3,86,0.299
2019 to 20,North East,All,Maths & Further Maths & Computer Science,3,19,0.211
2019 to 20,London,All,Maths & Further Maths & Computer Science,3,134,0.334
2019 to 20,Yorkshire and The Humber,All,Maths & Further Maths & Computer Science,3,46,0.228
2019 to 20,East of England,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,West Midlands,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,East Midlands,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,South West,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,South East,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,North West,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,North East,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,London,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,East of England,Female,Maths & Biology,2,319,2.173
2019 to 20,West Midlands,Female,Maths & Biology,2,288,2.157
2019 to 20,East Midlands,Female,Maths & Biology,2,202,2.057
2019 to 20,South West,Female,Maths & Biology,2,219,1.883
2019 to 20,South East,Female,Maths & Biology,2,478,2.101
2019 to 20,North West,Female,Maths & Biology,2,309,1.898
2019 to 20,North East,Female,Maths & Biology,2,116,2.242
2019 to 20,London,Female,Maths & Biology,2,443,1.97
2019 to 20,Yorkshire and The Humber,Female,Maths & Biology,2,234,2.011
2019 to 20,East of England,Male,Maths & Chemistry,2,192,1.594
2019 to 20,West Midlands,Male,Maths & Chemistry,2,179,1.836
2019 to 20,East Midlands,Male,Maths & Chemistry,2,134,1.776
2019 to 20,South West,Male,Maths & Chemistry,2,128,1.427
2019 to 20,South East,Male,Maths & Chemistry,2,263,1.413
2019 to 20,North West,Male,Maths & Chemistry,2,245,1.957
2019 to 20,North East,Male,Maths & Chemistry,2,62,1.615
2019 to 20,London,Male,Maths & Chemistry,2,383,2.174
2019 to 20,Yorkshire and The Humber,Male,Maths & Chemistry,2,159,1.853
2019 to 20,East of England,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,West Midlands,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,East Midlands,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,South West,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,South East,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,North West,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,North East,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,London,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,Yorkshire and The Humber,All,Further Maths & Biology & Computer Science,3,0,0.0
2019 to 20,East of England,Female,Maths & Further Maths & Biology & Chemistry,4,46,0.313
2019 to 20,West Midlands,Female,Maths & Further Maths & Biology & Chemistry,4,25,0.187
2019 to 20,East Midlands,Female,Maths & Further Maths & Biology & Chemistry,4,19,0.193
2019 to 20,South West,Female,Maths & Further Maths & Biology & Chemistry,4,17,0.146
2019 to 20,South East,Female,Maths & Further Maths & Biology & Chemistry,4,39,0.171
2019 to 20,North West,Female,Maths & Further Maths & Biology & Chemistry,4,26,0.16
2019 to 20,North East,Female,Maths & Further Maths & Biology & Chemistry,4,15,0.29
2019 to 20,London,Female,Maths & Further Maths & Biology & Chemistry,4,39,0.173
2019 to 20,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Chemistry,4,26,0.223
2019 to 20,East of England,Female,Maths & Chemistry,2,143,0.974
2019 to 20,West Midlands,Female,Maths & Chemistry,2,163,1.221
2019 to 20,East Midlands,Female,Maths & Chemistry,2,122,1.242
2019 to 20,South West,Female,Maths & Chemistry,2,142,1.221
2019 to 20,South East,Female,Maths & Chemistry,2,289,1.27
2019 to 20,North West,Female,Maths & Chemistry,2,224,1.376
2019 to 20,North East,Female,Maths & Chemistry,2,69,1.334
2019 to 20,London,Female,Maths & Chemistry,2,391,1.738
2019 to 20,Yorkshire and The Humber,Female,Maths & Chemistry,2,144,1.237
2019 to 20,East of England,Male,Maths & Further Maths & Physics,3,311,2.582
2019 to 20,West Midlands,Male,Maths & Further Maths & Physics,3,215,2.206
2019 to 20,East Midlands,Male,Maths & Further Maths & Physics,3,190,2.519
2019 to 20,South West,Male,Maths & Further Maths & Physics,3,285,3.177
2019 to 20,South East,Male,Maths & Further Maths & Physics,3,528,2.837
2019 to 20,North West,Male,Maths & Further Maths & Physics,3,276,2.204
2019 to 20,North East,Male,Maths & Further Maths & Physics,3,79,2.058
2019 to 20,London,Male,Maths & Further Maths & Physics,3,741,4.207
2019 to 20,Yorkshire and The Humber,Male,Maths & Further Maths & Physics,3,197,2.296
2019 to 20,East of England,All,Maths & Chemistry & Physics & Computer Science,4,10,0.037
2019 to 20,West Midlands,All,Maths & Chemistry & Physics & Computer Science,4,9,0.039
2019 to 20,East Midlands,All,Maths & Chemistry & Physics & Computer Science,4,4,0.023
2019 to 20,South West,All,Maths & Chemistry & Physics & Computer Science,4,5,0.024
2019 to 20,South East,All,Maths & Chemistry & Physics & Computer Science,4,11,0.027
