time_period,region_name,characteristic_type,characteristic_value,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,pc_achieving_alev
2022 to 23,North East,Disadvantage,Disadvantaged,1394,8155,6.913,75.251,C,17.094
2022 to 23,West Midlands,Disadvantage,Disadvantaged,4447,16759,6.895,76.186,C,26.535
2022 to 23,East of England,Disadvantage,Disadvantaged,2915,12367,6.705,76.878,C,23.571
2023 to 24,North East,Disadvantage,Disadvantaged,1464,8480,7.323,73.224,C,17.264
2023 to 24,West Midlands,Disadvantage,Disadvantaged,4877,17858,8.042,74.164,C,27.31
2023 to 24,East Midlands,Disadvantage,Disadvantaged,2360,8583,7.124,79.873,C,27.496
2023 to 24,South West,Disadvantage,Disadvantaged,2218,9992,6.275,78.224,C,22.198
2023 to 24,South East,Disadvantage,Disadvantaged,4169,15978,7.28,73.807,C,26.092
2023 to 24,East of England,Disadvantage,Disadvantaged,3032,12658,5.925,76.682,C,23.953
2023 to 24,London,Disadvantage,Disadvantaged,10659,25633,9.015,84.342,C,41.583
2023 to 24,North West,Disadvantage,Disadvantaged,4952,20651,8.229,78.13,C,23.979
2023 to 24,Yorkshire and The Humber,Disadvantage,Disadvantaged,3180,14489,7.532,75.723,C,21.948
2019 to 20,South West,Disadvantage,Non-Disadvantaged,19470,41534,20.652,86.02,B,46.877
2019 to 20,South East,Disadvantage,Non-Disadvantaged,37985,73088,21.641,87.016,B,51.972
2019 to 20,West Midlands,Disadvantage,Non-Disadvantaged,19703,43695,19.915,85.596,B-,45.092
2019 to 20,London,Disadvantage,Non-Disadvantaged,29767,51010,24.396,88.857,B,58.355
2019 to 20,North West,Disadvantage,Non-Disadvantaged,24792,53133,19.813,87.129,B,46.66
2019 to 20,Yorkshire and The Humber,Disadvantage,Non-Disadvantaged,17882,41048,19.258,84.409,B,43.564
2019 to 20,East of England,Disadvantage,Non-Disadvantaged,24530,50751,21.792,87.428,B,48.334
2019 to 20,East Midlands,Disadvantage,Non-Disadvantaged,15679,31661,19.702,88.641,B-,49.521
2019 to 20,North East,Disadvantage,Non-Disadvantaged,8069,20119,19.866,82.018,B,40.106
2020 to 21,North East,Disadvantage,Non-Disadvantaged,7569,16103,23.725,86.379,B,47.004
2020 to 21,West Midlands,Disadvantage,Non-Disadvantaged,19869,36782,24.418,88.444,B,54.018
2020 to 21,South East,Disadvantage,Non-Disadvantaged,39418,64053,27.171,88.132,B,61.54
2020 to 21,North West,Disadvantage,Non-Disadvantaged,24875,44626,24.819,88.318,B,55.741
2020 to 21,Yorkshire and The Humber,Disadvantage,Non-Disadvantaged,17637,32858,24.943,86.489,B,53.676
2020 to 21,South West,Disadvantage,Non-Disadvantaged,19323,34629,26.929,89.888,B,55.8
2020 to 21,East of England,Disadvantage,Non-Disadvantaged,24594,42648,27.572,89.619,B,57.667
2020 to 21,East Midlands,Disadvantage,Non-Disadvantaged,15712,27174,25.417,90.364,B,57.82
2020 to 21,London,Disadvantage,Non-Disadvantaged,30845,46640,30.469,91.182,B+,66.134
2021 to 22,Yorkshire and The Humber,Disadvantage,Non-Disadvantaged,18667,39949,20.274,85.118,B-,46.727
2021 to 22,London,Disadvantage,Non-Disadvantaged,33437,54635,24.308,91.186,B,61.201
2021 to 22,East Midlands,Disadvantage,Non-Disadvantaged,16823,31771,17.92,90.299,B-,52.951
2021 to 22,North East,Disadvantage,Non-Disadvantaged,8081,19432,19.088,85.942,B-,41.586
2021 to 22,West Midlands,Disadvantage,Non-Disadvantaged,20866,43652,19.728,87.238,B-,47.801
2021 to 22,North West,Disadvantage,Non-Disadvantaged,26710,53194,21.933,88.237,B,50.212
2021 to 22,South West,Disadvantage,Non-Disadvantaged,19714,40954,20.364,90.154,B-,48.137
2021 to 22,South East,Disadvantage,Non-Disadvantaged,41365,73964,23.208,87.557,B,55.926
2021 to 22,East of England,Disadvantage,Non-Disadvantaged,26247,51187,21.994,88.643,B,51.277
2022 to 23,Yorkshire and The Humber,Disadvantage,Non-Disadvantaged,19256,40531,13.195,83.943,C+,47.509
2022 to 23,South East,Disadvantage,Non-Disadvantaged,42450,74539,16.174,86.325,B-,56.95
2022 to 23,London,Disadvantage,Non-Disadvantaged,34764,55712,16.977,90.26,B-,62.399
2022 to 23,North West,Disadvantage,Non-Disadvantaged,27233,53828,14.281,86.869,C+,50.593
2022 to 23,East Midlands,Disadvantage,Non-Disadvantaged,17356,31577,11.628,88.494,C+,54.964
2022 to 23,South West,Disadvantage,Non-Disadvantaged,19923,40730,13.27,88.606,C+,48.915
2022 to 23,North East,Disadvantage,Non-Disadvantaged,8167,19392,11.738,84.915,C+,42.115
2022 to 23,West Midlands,Disadvantage,Non-Disadvantaged,21165,43693,13.255,85.689,C+,48.44
2022 to 23,East of England,Disadvantage,Non-Disadvantaged,26492,51020,14.611,87.683,C+,51.925
2023 to 24,North East,Disadvantage,Non-Disadvantaged,8276,19770,13.102,83.688,C+,41.861
2023 to 24,West Midlands,Disadvantage,Non-Disadvantaged,21509,43957,14.835,84.327,C+,48.932
2023 to 24,East Midlands,Disadvantage,Non-Disadvantaged,17486,31937,11.723,87.79,C+,54.752
2023 to 24,South West,Disadvantage,Non-Disadvantaged,20249,41114,13.983,87.298,C+,49.251
2023 to 24,South East,Disadvantage,Non-Disadvantaged,43213,75740,16.698,86.094,B-,57.054
2023 to 24,East of England,Disadvantage,Non-Disadvantaged,27384,52618,15.167,86.956,C+,52.043
2023 to 24,London,Disadvantage,Non-Disadvantaged,36173,57552,18.119,89.973,B-,62.853
2023 to 24,North West,Disadvantage,Non-Disadvantaged,27562,55214,15.444,86.518,B-,49.918
2023 to 24,Yorkshire and The Humber,Disadvantage,Non-Disadvantaged,19674,41347,14.329,83.049,C+,47.583
2019 to 20,South West,Disadvantage,Unknown disadvantaged status,402,1524,14.762,56.468,C+,26.378
2019 to 20,South East,Disadvantage,Unknown disadvantaged status,879,2898,22.33,62.912,B-,30.331
2019 to 20,West Midlands,Disadvantage,Unknown disadvantaged status,415,2381,17.276,74.699,B-,17.43
2019 to 20,London,Disadvantage,Unknown disadvantaged status,608,4952,21.56,70.066,B,12.278
2019 to 20,North West,Disadvantage,Unknown disadvantaged status,254,2364,22.857,73.228,B,10.745
2019 to 20,Yorkshire and The Humber,Disadvantage,Unknown disadvantaged status,247,1532,25.62,53.846,B-,16.123
2019 to 20,East of England,Disadvantage,Unknown disadvantaged status,242,1712,29.143,76.86,B,14.136
2019 to 20,East Midlands,Disadvantage,Unknown disadvantaged status,198,1271,25.714,59.091,C+,15.578
2019 to 20,North East,Disadvantage,Unknown disadvantaged status,78,1180,25.0,41.026,B-,6.61
2020 to 21,North East,Disadvantage,Unknown disadvantaged status,72,706,22.222,48.611,B,10.198
2020 to 21,West Midlands,Disadvantage,Unknown disadvantaged status,391,1552,22.867,85.934,B,25.193
2020 to 21,South East,Disadvantage,Unknown disadvantaged status,742,2094,24.694,63.747,B,35.435
2020 to 21,North West,Disadvantage,Unknown disadvantaged status,242,1623,33.714,80.579,B,14.911
2020 to 21,Yorkshire and The Humber,Disadvantage,Unknown disadvantaged status,200,941,27.083,54.5,B-,21.254
2020 to 21,South West,Disadvantage,Unknown disadvantaged status,368,1125,24.742,59.783,B,32.711
2020 to 21,East of England,Disadvantage,Unknown disadvantaged status,210,1033,25.974,80.476,B,20.329
2020 to 21,East Midlands,Disadvantage,Unknown disadvantaged status,198,738,23.009,62.121,B-,26.829
2020 to 21,London,Disadvantage,Unknown disadvantaged status,479,3310,26.822,74.113,B,14.471
2021 to 22,Yorkshire and The Humber,Disadvantage,Unknown disadvantaged status,134,1063,22.124,91.791,B-,12.606
2021 to 22,London,Disadvantage,Unknown disadvantaged status,391,3677,21.875,82.353,B-,10.634
2021 to 22,East Midlands,Disadvantage,Unknown disadvantaged status,100,787,21.429,90.0,B-,12.706
2021 to 22,North East,Disadvantage,Unknown disadvantaged status,55,785,26.19,72.727,B-,7.006
2021 to 22,West Midlands,Disadvantage,Unknown disadvantaged status,351,1792,26.909,85.47,B,19.587
2021 to 22,North West,Disadvantage,Unknown disadvantaged status,203,1900,25.949,82.759,B-,10.684
2021 to 22,South West,Disadvantage,Unknown disadvantaged status,222,1213,19.251,91.892,B,18.302
2021 to 22,South East,Disadvantage,Unknown disadvantaged status,580,2309,18.103,87.241,B-,25.119
2021 to 22,East of England,Disadvantage,Unknown disadvantaged status,186,1271,23.684,87.097,B-,14.634
2022 to 23,Yorkshire and The Humber,Disadvantage,Unknown disadvantaged status,156,1240,14.953,74.359,C+,12.581
2022 to 23,South East,Disadvantage,Unknown disadvantaged status,658,2560,13.646,79.787,B-,25.703
2022 to 23,London,Disadvantage,Unknown disadvantaged status,499,4040,17.452,77.555,C+,12.351
2022 to 23,North West,Disadvantage,Unknown disadvantaged status,251,2167,18.905,86.853,B-,11.583
2022 to 23,East Midlands,Disadvantage,Unknown disadvantaged status,131,857,11.009,89.313,C+,15.286
2022 to 23,South West,Disadvantage,Unknown disadvantaged status,282,1403,15.0,82.624,B-,20.1
2022 to 23,North East,Disadvantage,Unknown disadvantaged status,77,810,6.25,72.727,C+,9.506
2022 to 23,West Midlands,Disadvantage,Unknown disadvantaged status,438,2036,13.636,82.648,C+,21.513
2022 to 23,East of England,Disadvantage,Unknown disadvantaged status,247,1460,16.588,89.879,C+,16.918
2023 to 24,North East,Disadvantage,Unknown disadvantaged status,135,1105,17.045,66.667,C+,12.217
2023 to 24,West Midlands,Disadvantage,Unknown disadvantaged status,520,2605,11.346,76.731,C+,19.962
2023 to 24,East Midlands,Disadvantage,Unknown disadvantaged status,253,1279,14.674,79.447,C+,19.781
2023 to 24,South West,Disadvantage,Unknown disadvantaged status,425,1664,12.195,71.059,C,25.541
2023 to 24,South East,Disadvantage,Unknown disadvantaged status,993,3440,14.0,69.184,C+,28.866
2023 to 24,East of England,Disadvantage,Unknown disadvantaged status,357,1963,16.605,80.672,C+,18.186
2023 to 24,London,Disadvantage,Unknown disadvantaged status,701,4726,15.942,80.029,B-,14.833
2023 to 24,North West,Disadvantage,Unknown disadvantaged status,339,2628,17.045,82.301,B-,12.9
2023 to 24,Yorkshire and The Humber,Disadvantage,Unknown disadvantaged status,282,1583,15.517,68.44,C+,17.814
