time_period,region_name,characteristic_type,characteristic_value,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,pc_achieving_alev
2023 to 24,North East,Ethnicity,Unknown ethnicity,397,2293,11.864,76.322,C+,17.314
2023 to 24,West Midlands,Ethnicity,Unknown ethnicity,1620,5435,12.604,81.914,C+,29.807
2023 to 24,East Midlands,Ethnicity,Unknown ethnicity,839,2734,14.264,86.293,C+,30.688
2023 to 24,South West,Ethnicity,Unknown ethnicity,1446,4451,11.649,82.573,C+,32.487
2023 to 24,South East,Ethnicity,Unknown ethnicity,4072,8945,17.139,83.276,B-,45.523
2023 to 24,East of England,Ethnicity,Unknown ethnicity,2035,5600,15.534,87.42,B-,36.339
2023 to 24,London,Ethnicity,Unknown ethnicity,3175,9493,18.324,86.803,B-,33.446
2023 to 24,North West,Ethnicity,Unknown ethnicity,1687,6008,15.911,85.24,B-,28.079
2023 to 24,Yorkshire and The Humber,Ethnicity,Unknown ethnicity,1081,4070,12.968,78.908,C+,26.56
2019 to 20,South West,Ethnicity,White,18813,45452,20.302,85.037,B,41.391
2019 to 20,South East,Ethnicity,White,31689,71702,21.241,85.657,B,44.195
2019 to 20,West Midlands,Ethnicity,White,15219,41073,19.796,84.854,B-,37.054
2019 to 20,London,Ethnicity,White,14299,28685,24.803,87.677,B,49.848
2019 to 20,North West,Ethnicity,White,22462,58327,18.975,85.847,B,38.51
2019 to 20,Yorkshire and The Humber,Ethnicity,White,15831,43224,19.025,83.4,B,36.625
2019 to 20,East of England,Ethnicity,White,21242,51644,20.706,85.839,B,41.132
2019 to 20,East Midlands,Ethnicity,White,13631,31925,19.305,87.624,B-,42.697
2019 to 20,North East,Ethnicity,White,8264,25740,18.405,80.252,B-,32.106
2020 to 21,North East,Ethnicity,White,7741,19195,22.37,84.886,B,40.328
2020 to 21,West Midlands,Ethnicity,White,15115,32463,24.015,87.231,B,46.561
2020 to 21,South East,Ethnicity,White,31901,58353,26.278,86.759,B,54.669
2020 to 21,North West,Ethnicity,White,21983,45415,24.505,86.913,B,48.405
2020 to 21,Yorkshire and The Humber,Ethnicity,White,15423,32312,24.286,85.904,B,47.731
2020 to 21,South West,Ethnicity,White,18200,35539,26.003,89.016,B,51.211
2020 to 21,East of England,Ethnicity,White,20875,40586,26.933,88.46,B,51.434
2020 to 21,East Midlands,Ethnicity,White,13456,25859,24.772,89.878,B,52.036
2020 to 21,London,Ethnicity,White,14330,24258,31.362,90.007,B+,59.073
2021 to 22,Yorkshire and The Humber,Ethnicity,White,16027,40691,19.556,84.37,B-,39.387
2021 to 22,London,Ethnicity,White,15051,28298,24.826,90.811,B,53.188
2021 to 22,East Midlands,Ethnicity,White,14107,30660,17.132,89.778,B-,46.011
2021 to 22,North East,Ethnicity,White,8180,24095,17.627,84.719,B-,33.949
2021 to 22,West Midlands,Ethnicity,White,15604,39117,18.907,86.503,B-,39.891
2021 to 22,North West,Ethnicity,White,23198,55759,20.517,86.766,B,41.604
2021 to 22,South West,Ethnicity,White,18517,43383,19.502,89.28,B-,42.683
2021 to 22,South East,Ethnicity,White,33217,68938,22.165,86.007,B,48.184
