time_period,region_name,rurality_name,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,number_of_students_entered,pc_entering_alev
2022 to 23,South West,Unknown rurality,0,0,,,,0,
2022 to 23,South East,Unknown rurality,0,0,,,,0,
2022 to 23,East of England,Unknown rurality,0,0,,,,0,
2022 to 23,North West,Unknown rurality,0,0,,,,0,
2022 to 23,Yorkshire and The Humber,Unknown rurality,0,0,,,,0,
2022 to 23,North East,Unknown rurality,0,0,,,,0,
2022 to 23,London,Unknown rurality,0,0,,,,0,
2023 to 24,East Midlands,Unknown rurality,0,0,,,,0,
2023 to 24,South West,Unknown rurality,0,0,,,,0,
2023 to 24,South East,Unknown rurality,0,0,,,,0,
2023 to 24,London,Unknown rurality,0,0,,,,0,
2023 to 24,North West,Unknown rurality,0,0,,,,0,
2023 to 24,Yorkshire and The Humber,Unknown rurality,0,0,,,,0,
2023 to 24,North East,Unknown rurality,0,0,,,,0,
2023 to 24,West Midlands,Unknown rurality,0,0,,,,0,
2023 to 24,East of England,Unknown rurality,0,0,,,,0,
